A	[A]	ax
STICKER	[STICKER]	s t ih k er
STICKERS	[STICKERS]	s t ih k er z
STICKING	[STICKING]	s t ih k ix ng
STICKS	[STICKS]	s t ih k s
STICKY	[STICKY]	s t ih k iy
STILL	[STILL]	s t ih l
STILTS	[STILTS]	s t ih l t s
STIMULANT	[STIMULANT]	s t ih m y ax l ax n t
STINGRAY	[STINGRAY]	s t ih ng r ey
STINGS	[STINGS]	s t ih ng z
STINK	[STINK]	s t ih ng k
STINKIES	[STINKIES]	s t ih ng k iy z
STINKS	[STINKS]	s t ih ng k s
STINKY	[STINKY]	s t ih ng k iy
STIR	[STIR]	s t er
STIRRED	[STIRRED]	s t er d
STIRRING	[STIRRING]	s t er ix ng
STIRS	[STIRS]	s t er z
STOLE	[STOLE]	s t ow l
STOLEN	[STOLEN]	s t ow l ax n
STOLLER	[STOLLER]	s t ow l er
STOMACH	[STOMACH]	s t ah m ax k
STOMMING	[STOMMING]	s t aa m ix ng
STOMP	[STOMP]	s t aa m p
STOMPING	[STOMPING]	s t aa m p ix ng
STONE	[STONE]	s t ow n
STONES	[STONES]	s t ow n z
STOOD	[STOOD]	s t uh d
STOOL	[STOOL]	s t uw l
STOOP	[STOOP]	s t uw p
STOOPED	[STOOPED]	s t uw p t
STOOPS	[STOOPS]	s t uw p s
STOP	[STOP]	s t aa p
STOPLIGHT	[STOPLIGHT]	s t aa p l ay t
STOPPED	[STOPPED]	s t aa p t
STOPPER	[STOPPER]	s t aa p er
STOPPING	[STOPPING]	s t aa p ix ng
STOPS	[STOPS]	s t aa p s
STORE	[STORE]	s t ao r
STORIES	[STORIES]	s t ao r iy z
STORING	[STORING]	s t ao r ix ng
STORM	[STORM]	s t ao r m
STORY	[STORY]	s t ao r iy
STOUT	[STOUT]	s t aw t
STOVE	[STOVE]	s t ow v
STOWED	[STOWED]	s t ow d
STRAIGHT	[STRAIGHT]	s t r ey t
STRAIGHTEN	[STRAIGHTEN]	s t r ey t ax n
STRAIGHTER	[STRAIGHTER]	s t r ey dx er
STRAINER	[STRAINER]	s t r ey n er
STRANDED	[STRANDED]	s t r ae n d ax d
STRANGE	[STRANGE]	s t r ey n jh
STRAP	[STRAP]	s t r ae p
STRAPPED	[STRAPPED]	s t r ae p t
STRAPS	[STRAPS]	s t r ae p s
STRAW	[STRAW]	s t r ao
STRAWBERRIES	[STRAWBERRIES]	s t r ao b eh r iy z
STRAWBERRY	[STRAWBERRY]	s t r ao b eh r iy
STRAWS	[STRAWS]	s t r ao z
STREAK	[STREAK]	s t r iy k
STREAM	[STREAM]	s t r iy m
STREET	[STREET]	s t r iy t
STREET'S	[STREET'S]	s t r iy t s
STREETS	[STREETS]	s t r iy t s
STRESS	[STRESS]	s t r eh s
STRETCH	[STRETCH]	s t r eh ch
STRETCHED	[STRETCHED]	s t r eh ch t
STRETCHING	[STRETCHING]	s t r eh ch ix ng
STRETCHY	[STRETCHY]	s t r eh ch iy
STRETCH_A	[STRETCH_A]	s t w eh ch
STRIKE	[STRIKE]	s t r ay k
STRIKES	[STRIKES]	s t r ay k s
STRING	[STRING]	s t r ih ng
STRIP	[STRIP]	s t r ih p
STRIPE	[STRIPE]	s t r ay p
STRIPED	[STRIPED]	s t r ay p t
STRIPES	[STRIPES]	s t r ay p s
STRIPEY	[STRIPEY]	s t r ay p iy
STRIPIEST	[STRIPIEST]	s t r ay p iy ax s t
STRIPPED	[STRIPPED]	s t r ih p t
STROKE	[STROKE]	s t r ow k
STROLLER	[STROLLER]	s t r ow l er
STROLLERS	[STROLLERS]	s t r ow l er z
STRONG	[STRONG]	s t r ao ng
STRONGER	[STRONGER]	s t r ao ng er
STRONGLY	[STRONGLY]	s t r ao ng l iy
STRUM	[STRUM]	s t r ah m
STRUT	[STRUT]	s t r ah t
STUB	[STUB]	s t ah b
STUBBED	[STUBBED]	s t ah b d
STUBBORN	[STUBBORN]	s t ah b er n
STUCK	[STUCK]	s t ah k
STUDENTS	[STUDENTS]	s t uw d ax n t s
STUDY	[STUDY]	s t ah dx iy
STUFF	[STUFF]	s t ah f
STUFFED	[STUFFED]	s t ah f t
STUFFY	[STUFFY]	s t ah f iy
STUMP	[STUMP]	s t ah m p
STUMPING	[STUMPING]	s t ah m p ix ng
STUNNING	[STUNNING]	s t ah n ix ng
STUPID	[STUPID]	s t uw p ax d
STYLE	[STYLE]	s t ay l
STYLISH	[STYLISH]	s t ay l ix sh
STYRACOSAURUS	[STYRACOSAURUS]	s t ih r ah k ow s ao r ax s
SU	[SU]	s uw
SUBJECT	[SUBJECT]	s ax b jh eh k t
SUBMARINE	[SUBMARINE]	s ah b m er iy n
SUBTLE	[SUBTLE]	s ah dx ax l
SUBTRACTS	[SUBTRACTS]	s ax b t r ae k t s
SUBWAY	[SUBWAY]	s ah b w ey
SUCCESS	[SUCCESS]	s ax k s eh s
SUCCESSFULLY	[SUCCESSFULLY]	s ax k s eh s f ax l iy
SUCH	[SUCH]	s ah ch
SUCIO	[SUCIO]	s uw s ih ow
SUCK	[SUCK]	s ah k
SUCKER	[SUCKER]	s ah k er
SUCKING	[SUCKING]	s ah k ix ng
SUDDEN	[SUDDEN]	s ah d ax n
SUDDENLY	[SUDDENLY]	s ah d ax n l iy
SUDDER	[SUDDER]	s ah d er
SUE	[SUE]	s uw
SUGAR	[SUGAR]	sh uh g er
SUGAR'S	[SUGAR'S]	sh uh g er z
SUGARED	[SUGARED]	sh uh g er d
SUGGESTED	[SUGGESTED]	s ax g jh eh s t ax d
SUGGESTS	[SUGGESTS]	s ax g jh eh s t s
SUIT	[SUIT]	s uw t
SUITCASE	[SUITCASE]	s uw t k ey s
SUITS	[SUITS]	s uw t s
SULLUSY	[SULLUSY]	s ax l uw s iy
SULLY	[SULLY]	s ah l iy
SUMMARY	[SUMMARY]	s ah m er iy
SUMMER	[SUMMER]	s ah m er
SUMMERY	[SUMMERY]	s ah m er iy
SUN	[SUN]	s ah n
SUN'S	[SUN'S]	s ah n z
SUNDAE	[SUNDAE]	s ah n d ey
SUNDAY	[SUNDAY]	s ah n d ey
SUNFLOWERS	[SUNFLOWERS]	s ah n f l aw er z
SUNGLASSES	[SUNGLASSES]	s ah n g l ae s ix z
SUNK	[SUNK]	s ah ng k
SUNLIGHT	[SUNLIGHT]	s ah n l ay t
SUNMAID	[SUNMAID]	s ah n m ey d
SUNNY	[SUNNY]	s ah n iy
SUNROOM	[SUNROOM]	s ah n r uw m
SUNS	[SUNS]	s ah n z
SUNSET	[SUNSET]	s ah n s eh t
SUP	[SUP]	s ah p
SUPER	[SUPER]	s uw p er
SUPERHERO	[SUPERHERO]	s uw p er hh iy r ow
SUPERMAN	[SUPERMAN]	s uw p er m ax n
SUPERMARKET	[SUPERMARKET]	s uw p er m aa r k ix t
SUPERVISION	[SUPERVISION]	s uw p er v ih zh ax n
SUPPER	[SUPPER]	s ah p er
SUPPERS_A	[SUPPERS_A]	s aa p ax s
SUPPERTIME	[SUPPERTIME]	s ah p er t ay m
SUPPLIES	[SUPPLIES]	s ax p l ay z
SUPPOSE	[SUPPOSE]	s ax p ow z
SUPPOSED	[SUPPOSED]	s ax p ow z d
SURE	[SURE]	sh uh r
SURGEON	[SURGEON]	s er jh ax n
SURPRISE	[SURPRISE]	s er p r ay z
SURPRISED	[SURPRISED]	s er p r ay z d
SURPRISING	[SURPRISING]	s er p r ay z ix ng
SURSIE	[SURSIE]	s er s iy
SUSANS	[SUSANS]	s uw z ax n z
SUSCEPTIBLE	[SUSCEPTIBLE]	s ax s eh p t ax b ax l
SUSHI	[SUSHI]	s uw sh iy
SUSI	[SUSI]	s uw s iy
SUSIE	[SUSIE]	s uw z iy
SUSPECT	[SUSPECT]	s ax s p eh k t
SUZANNE	[SUZANNE]	s uw z ae n
SUZY	[SUZY]	s uw z iy
SWALLOW	[SWALLOW]	s w aa l ow
SWALLOWED	[SWALLOWED]	s w aa l ow d
SWALLOWING	[SWALLOWING]	s w aa l ow ix ng
SWAMP	[SWAMP]	s w aa m p
SWAN	[SWAN]	s w aa n
SWANS	[SWANS]	s w aa n z
SWAP	[SWAP]	s w aa p
SWAPPED	[SWAPPED]	s w aa p t
SWEAR	[SWEAR]	s w eh r
SWEATER	[SWEATER]	s w eh dx er
SWEATERS	[SWEATERS]	s w eh dx er z
SWEATSHIRTS	[SWEATSHIRTS]	s w eh t sh er t s
SWEATY	[SWEATY]	s w eh dx iy
SWEDISH	[SWEDISH]	s w iy dx ix sh
SWEEP	[SWEEP]	s w iy p
SWEEPER	[SWEEPER]	s w iy p er
SWEEPING	[SWEEPING]	s w iy p ix ng
SWEEPSWEEP	[SWEEPSWEEP]	s w iy p s w iy p
SWEET	[SWEET]	s w iy t
SWEETER	[SWEETER]	s w iy dx er
SWEETHEART	[SWEETHEART]	s w iy t hh aa r t
SWEETIE	[SWEETIE]	s w iy dx iy
SWEETIEPIE	[SWEETIEPIE]	s w iy dx iy p ay
SWEETS	[SWEETS]	s w iy t s
SWEETSTUFF	[SWEETSTUFF]	s w iy t s t ah f
SWEETY	[SWEETY]	s w iy dx iy
SWEPT	[SWEPT]	s w eh p t
SWIFT	[SWIFT]	s w ih f t
SWIFTLY	[SWIFTLY]	s w ih f t l iy
SWILL	[SWILL]	s w ih l
SWIM	[SWIM]	s w ih m
SWIMMERS	[SWIMMERS]	s w ih m er z
SWIMMIES	[SWIMMIES]	s w ih m iy z
SWIMMING	[SWIMMING]	s w ih m ix ng
SWIMSUIT	[SWIMSUIT]	s w ih m s uw t
SWIMSUITS	[SWIMSUITS]	s w ih m s uw t s
SWING	[SWING]	s w ih ng
SWINGING	[SWINGING]	s w ih ng ix ng
SWINGS	[SWINGS]	s w ih ng z
SWIPER	[SWIPER]	s w ay p er
SWIPING	[SWIPING]	s w ay p ix ng
SWIRL	[SWIRL]	s w er l
SWIRLING	[SWIRLING]	s w er l ix ng
SWIRLS	[SWIRLS]	s w er l z
SWISH	[SWISH]	s w ih sh
SWISHING	[SWISHING]	s w ih sh ih ng
SWISS	[SWISS]	s w ih s
SWITCH	[SWITCH]	s w ih ch
SWITCHED	[SWITCHED]	s w ih ch t
SWITCHING	[SWITCHING]	s w ih ch ix ng
SWIZZLE	[SWIZZLE]	s w ih z ax l
SWOLLEN	[SWOLLEN]	s w ow l ax n
SWOOP	[SWOOP]	s w uw p
SWOOPED	[SWOOPED]	s w uw p t
SWOOSH	[SWOOSH]	s w uw sh
SWORD	[SWORD]	s ao r d
SWORDFISH	[SWORDFISH]	s ao r d f ih sh
SYDNEY	[SYDNEY]	s ih d n iy
SYNONYMS	[SYNONYMS]	s ih n ax n ih m z
SYRUP	[SYRUP]	s er ax p
SYSTEM	[SYSTEM]	s ih s t ax m
T	[T]	t iy
T'S	[T'S]	t iy z
TABLE	[TABLE]	t ey b ax l
TABLECLOTH	[TABLECLOTH]	t ey b ax l k l ao th
TABLES	[TABLES]	t ey b ax l z
TABLESPOON	[TABLESPOON]	t ey b ax l s p uw n
TABLESPOONS	[TABLESPOONS]	t ey b ax l s p uw n z
TACK	[TACK]	t ae k
TACKLED	[TACKLED]	t ae k ax l d
TACKY	[TACKY]	t ae k iy
TAD	[TAD]	t ae d
TAFFY	[TAFFY]	t ae f iy
TAFFY'S	[TAFFY'S]	t ae f iy z
TAG	[TAG]	t ae g
TAGALONG	[TAGALONG]	t ae g ax l ao ng
TAGS	[TAGS]	t ae g z
TAHINI	[TAHINI]	t aa hh iy n iy
TAHOE	[TAHOE]	t ae hh ow
TAHOE_A	[TAHOE_A]	t aa k ow
TAIL	[TAIL]	t ey l
TAILED	[TAILED]	t ey l d
TAILS	[TAILS]	t ey l z
TAJ	[TAJ]	t aa zh
TAJUMBIDI	[TAJUMBIDI]	t ax jh ah m b ax d iy
TAJUMBUDDY	[TAJUMBUDDY]	t ax jh ah m b ah d iy
TAKE	[TAKE]	t ey k
TAKEN	[TAKEN]	t ey k ax n
TAKEROFFER	[TAKEROFFER]	t ey k er ao f er
TAKES	[TAKES]	t ey k s
TAKING	[TAKING]	t ey k ix ng
TALE	[TALE]	t ey l
TALES	[TALES]	t ey l z
TALK	[TALK]	t ao k
TALKATIVE	[TALKATIVE]	t ao k ax dx ix v
TALKED	[TALKED]	t ao k t
TALKIE	[TALKIE]	t ao k iy
TALKING	[TALKING]	t ao k ix ng
TALKS	[TALKS]	t ao k s
TALL	[TALL]	t ao l
TALLER	[TALLER]	t ao l er
TALLEST	[TALLEST]	t ao l ix s t
TALLULAH	[TALLULAH]	t ae l uw l ax
TALULA	[TALULA]	t aa l y uw l ax
TAMAKI	[TAMAKI]	t aa m ax k iy
TAMAR	[TAMAR]	t ax m aa r
TAMAR'S	[TAMAR'S]	t ax m aa r z
TAMED	[TAMED]	t ey m d
TAMER	[TAMER]	t ey m er
TAN	[TAN]	t ae n
TANGLE	[TANGLE]	t ae ng g ax l
TANGLED	[TANGLED]	t ae ng g ax l d
TANK	[TANK]	t ae ng k
TANKER	[TANKER]	t ae ng k er
TANKERS	[TANKERS]	t ae ng k er z
TAP	[TAP]	t ae p
TAPE	[TAPE]	t ey p
TAPE'S	[TAPE'S]	t ey p s
TAPED	[TAPED]	t ey p t
TAPERECORDING	[TAPERECORDING]	t ey p r ax k ao r dx ix ng
TAPES	[TAPES]	t ey p s
TAPING	[TAPING]	t ey p ix ng
TAPPING	[TAPPING]	t ae p ix ng
TAPS	[TAPS]	t ae p s
TARANTULA	[TARANTULA]	t ax r ae n ch uw l ax
TASHA	[TASHA]	t aa sh aa
TASKS	[TASKS]	t ae s k s
TASTE	[TASTE]	t ey s t
TASTES	[TASTES]	t ey s t s
TASTING	[TASTING]	t ey s t ix ng
TASTY	[TASTY]	t ey s t iy
TATTOOED	[TATTOOED]	t ae t uw d
TAUGHT	[TAUGHT]	t ao t
TAXES	[TAXES]	t ae k s ax z
TAXI	[TAXI]	t ae k s iy
TBONE	[TBONE]	t iy b ow n
TE	[TE]	t eh
TEA	[TEA]	t iy
TEACH	[TEACH]	t iy ch
TEACHER	[TEACHER]	t iy ch er
TEACHER'S	[TEACHER'S]	t iy ch er z
TEACHING	[TEACHING]	t iy ch ix ng
TEACOZY	[TEACOZY]	t iy k ow z iy
TEACUP	[TEACUP]	t iy k ah p
TEAM	[TEAM]	t iy m
TEAMS	[TEAMS]	t iy m z
TEAPARTY	[TEAPARTY]	t iy p aa r dx iy
TEAPOT	[TEAPOT]	t iy p aa t
TEAR	[TEAR]	t eh r
TEARDROP	[TEARDROP]	t eh r d r aa p
TEARING	[TEARING]	t eh r ix ng
TEARS	[TEARS]	t eh r z
TEASE	[TEASE]	t iy z
TEASES	[TEASES]	t iy z ix z
TEASING	[TEASING]	t iy z ix ng
TEASPOON	[TEASPOON]	t iy s p uw n
TEBAY	[TEBAY]	t iy b ey
TECHNICALLY	[TECHNICALLY]	t eh k n ix k ax l iy
TECHNIQUE	[TECHNIQUE]	t eh k n iy k
TECTAGON	[TECTAGON]	t eh k t ax g aa n
TED	[TED]	t eh d
TED'S	[TED'S]	t eh d z
TEDDIES	[TEDDIES]	t eh dx iy z
TEDDY	[TEDDY]	t eh dx iy
TEDDY'S	[TEDDY'S]	t eh dx iy z
TEDDYBEAR	[TEDDYBEAR]	t eh dx iy b eh r
TEDDYBEARS	[TEDDYBEARS]	t eh dx iy b eh r z
TEE	[TEE]	t iy
TEEBALL	[TEEBALL]	t iy b ao l
TEENAGER	[TEENAGER]	t iy n ey jh er
TEENI	[TEENI]	t iy n iy
TEENIE	[TEENIE]	t iy n iy
TEENSY	[TEENSY]	t iy n s iy
TEENY	[TEENY]	t iy n iy
TEENYTINY	[TEENYTINY]	t iy n iy t ay n iy
TEETH	[TEETH]	t iy th
TEETHIES	[TEETHIES]	t iy th iy z
TEETHING	[TEETHING]	t iy dh ix ng
TEETOW	[TEETOW]	t iy t ow
TEGAMA	[TEGAMA]	t iy g aa m ax
TEKAMAKI	[TEKAMAKI]	t eh k ax m aa k iy
TELE	[TELE]	t eh l iy
TELEPHONE	[TELEPHONE]	t eh l ax f ow n
TELETABLE	[TELETABLE]	t eh l iy t ey b ax l
TELETUBBIES	[TELETUBBIES]	t eh l iy t ah b iy z
TELETUBBY	[TELETUBBY]	t eh l iy t ah b iy
TELEVISION	[TELEVISION]	t eh l ax v ih zh ax n
TELL	[TELL]	t eh l
TELLING	[TELLING]	t eh l ix ng
TELLS	[TELLS]	t eh l z
TELLY	[TELLY]	t eh l iy
TELLYTUBBIES	[TELLYTUBBIES]	t eh l iy t ah b iy z
TELLYTUBBY	[TELLYTUBBY]	t eh l iy t ah b iy
TELULA	[TELULA]	t eh l y uw l ax
TELULAH	[TELULAH]	t ax l uw l ax
TEMPERATURE	[TEMPERATURE]	t eh m p r ax ch er
TEMPLETON	[TEMPLETON]	t eh m p ax l t ax n
TEMPTED	[TEMPTED]	t eh m p t ax d
TEN	[TEN]	t eh n
TEND	[TEND]	t eh n d
TENDENCY	[TENDENCY]	t eh n d ax n s iy
TENDER	[TENDER]	t eh n d er
TENNIS	[TENNIS]	t eh n ax s
TENNISBALL	[TENNISBALL]	t eh n ax s b ao l
TENT	[TENT]	t eh n t
TENTAGON	[TENTAGON]	t eh n t ax g aa n
TENTH	[TENTH]	t eh n th
TERM	[TERM]	t er m
TERMITES	[TERMITES]	t er m ay t s
TERMS	[TERMS]	t er m z
TERRAPIN	[TERRAPIN]	t eh r ax p ae n
TERRIBLE	[TERRIBLE]	t eh r ax b ax l
TERRIBLY	[TERRIBLY]	t eh r ax b l iy
TERRIFIC	[TERRIFIC]	t er ih f ix k
TEST	[TEST]	t eh s t
TESTED	[TESTED]	t eh s t ax d
TESTING	[TESTING]	t eh s t ix ng
TEXAS	[TEXAS]	t eh k s ax s
TH	[TH]	t iy ey ch
THAN	[THAN]	dh ae n
THANK	[THANK]	th ae ng k
THANKED	[THANKED]	th ae ng k t
THANKS	[THANKS]	th ae ng k s
THANKSGIVING	[THANKSGIVING]	th ae ng k s g ih v ix ng
THANKYOU	[THANKYOU]	th ae ng k y uw
THAT	[THAT]	dh ae t
THAT'D	[THAT'D]	dh ae dx ix d
THAT'LL	[THAT'LL]	dh ae dx ax l
THAT'S	[THAT'S]	dh ae t s
THATAWAY	[THATAWAY]	dh ae t ax w ey
THATCHERATE	[THATCHERATE]	th ae ch er ey t
THAYER	[THAYER]	th ey er
THE	[THE]	dh ax
THEIR	[THEIR]	dh eh r
THEM	[THEM]	dh eh m
THEMSELVES	[THEMSELVES]	dh eh m s eh l v z
THEN	[THEN]	dh eh n
THEO	[THEO]	th iy ow
THERAPEUTIC	[THERAPEUTIC]	th eh r ax p y uw dx ix k
THERE	[THERE]	dh eh r
THERE'LL	[THERE'LL]	dh eh r ax l
THERE'RE	[THERE'RE]	dh eh r er
THERE'S	[THERE'S]	dh eh r z
THERE_A	[THERE_A]	d eh r
THESE	[THESE]	dh iy z
THESE_A	[THESE_A]	d iy z
THEY	[THEY]	dh ey
THEY'D	[THEY'D]	dh ey d
THEY'LL	[THEY'LL]	dh ey l
THEY'RE	[THEY'RE]	dh eh r
THEY'VE	[THEY'VE]	dh ey v
THE_A	[THE_A]	dh ih z
THICK	[THICK]	th ih k
THICKER	[THICKER]	th ih k er
THIEF	[THIEF]	th iy f
THIGH	[THIGH]	th ay
THIN	[THIN]	th ih n
THING	[THING]	th ih ng
THING'S	[THING'S]	th ih ng z
THINGAMAJING	[THINGAMAJING]	th ix ng ax m ax jh ix ng
THINGAMAJINGS	[THINGAMAJINGS]	th ih ng ax m ax jh ih ng z
THINGS	[THINGS]	th ih ng z
THINGY	[THINGY]	th ih ng iy
THINK	[THINK]	th ih ng k
THINK'S	[THINK'S]	th ih ng k s
THINKING	[THINKING]	th ih ng k ix ng
THINKS	[THINKS]	th ih ng k s
THIRD	[THIRD]	th er d
THIRSTY	[THIRSTY]	th er s t iy
THIRTEEN	[THIRTEEN]	th er t iy n
THIRTEENTH	[THIRTEENTH]	th er t iy n th
THIRTY	[THIRTY]	th er dx iy
THIRTY'S	[THIRTY'S]	th er dx iy z
THIRTYFIFTH	[THIRTYFIFTH]	th er dx iy f ih f th
THIRTYFIRST	[THIRTYFIRST]	th er dx iy f er s t
THIRTYFIVE	[THIRTYFIVE]	th er dx iy f ay v
THIRTYISH	[THIRTYISH]	th er dx iy ih sh
THIRTYONE	[THIRTYONE]	th er dx iy w ah n
THIS	[THIS]	dh ih s
THIS'LL	[THIS'LL]	dh ih s ax l
THISAWAY	[THISAWAY]	dh ih s ax w ey
THISTLE	[THISTLE]	th ih s ax l
THISTLY	[THISTLY]	th ih s ax l iy
THOMAS	[THOMAS]	t aa m ax s
THOSE	[THOSE]	dh ow z
THOUGH	[THOUGH]	dh ow
THOUGHT	[THOUGHT]	th ao t
THOUSAND	[THOUSAND]	th aw z ax n d
THRASHED	[THRASHED]	th r ae sh t
THREAD	[THREAD]	th r eh d
THREE	[THREE]	th r iy
THREE'S	[THREE'S]	th r iy z
THREEBEDROOM	[THREEBEDROOM]	th r iy b eh d r uw m
THREES	[THREES]	th r iy z
THREE_A	[THREE_A]	th r ey
THREW	[THREW]	th r uw
THRILL	[THRILL]	th r ih l
THROAT	[THROAT]	th r ow t
THROUGH	[THROUGH]	th r uw
THROUGHOUT	[THROUGHOUT]	th r uw aw t
THROW	[THROW]	th r ow
THROWER	[THROWER]	th r ow er
THROWING	[THROWING]	th r ow ix ng
THROWN	[THROWN]	th r ow n
THROWS	[THROWS]	th r ow z
THUMB	[THUMB]	th ah m
THUMBKIN	[THUMBKIN]	th ah m k ih n
THUMBS	[THUMBS]	th ah m z
THUMBTACK	[THUMBTACK]	th ah m t ae k
THUMP	[THUMP]	th ah m p
THUMPED	[THUMPED]	th ah m p t
THUMPKIN	[THUMPKIN]	th ah m p k ih n
THUNDEROUS	[THUNDEROUS]	th ah n d er ax s
THURSDAY	[THURSDAY]	th er z d ey
THYME	[THYME]	th ay m
TI	[TI]	t iy
TICK	[TICK]	t ih k
TICKER	[TICKER]	t ih k er
TICKET	[TICKET]	t ih k ax t
TICKETS	[TICKETS]	t ih k ax t s
TICKI	[TICKI]	t ih k iy
TICKLE	[TICKLE]	t ih k ax l
TICKLED	[TICKLED]	t ih k ax l d
TICKLEMONSTER	[TICKLEMONSTER]	t ih k ax l m aa n s t er
TICKLEPUSS	[TICKLEPUSS]	t ih k ax l p uh s
TICKLER	[TICKLER]	t ih k l er
TICKLES	[TICKLES]	t ih k ax l z
TICKLING	[TICKLING]	t ih k l ih ng
TICKLISH	[TICKLISH]	t ih k ax l ix sh
TICKLY	[TICKLY]	t ih k ax l iy
TICKS	[TICKS]	t ih k s
TICKY	[TICKY]	t ih k iy
TIDE	[TIDE]	t ay d
TIDY	[TIDY]	t ay dx iy
TIE	[TIE]	t ay
TIED	[TIED]	t ay d
TIES	[TIES]	t ay z
TIGER	[TIGER]	t ay g er
TIGER'S	[TIGER'S]	t ay g er z
TIGERS	[TIGERS]	t ay g er z
TIGGER	[TIGGER]	t ih g er
TIGGERS	[TIGGERS]	t ih g er z
TIGHT	[TIGHT]	t ay t
TIGHTEN	[TIGHTEN]	t ay t ax n
TIGHTER	[TIGHTER]	t ay dx er
TIGHTLY	[TIGHTLY]	t ay t l iy
TIGHTROPE	[TIGHTROPE]	t ay t r ow p
TIGHTS	[TIGHTS]	t ay t s
TIL	[TIL]	t ih l
TILES	[TILES]	t ay l z
TILL	[TILL]	t ih l
TILT	[TILT]	t ih l t
TILTED	[TILTED]	t ih l t ax d
TILTING	[TILTING]	t ih l t ix ng
TIM	[TIM]	t ih m
TIMBERWOLF	[TIMBERWOLF]	t ih m b er w uh l f
TIME	[TIME]	t ay m
TIMEOUT	[TIMEOUT]	t ay m aw t
TIMER	[TIMER]	t ay m er
TIMES	[TIMES]	t ay m z
TIMING	[TIMING]	t ay m ix ng
TIMOTHY	[TIMOTHY]	t ih m ax th iy
TIN	[TIN]	t ih n
TINKER	[TINKER]	t ih ng k er
TINKYWINKY	[TINKYWINKY]	t ih ng k iy w ih ng k iy
TINKYWINKY'S	[TINKYWINKY'S]	t ih ng k iy w ih ng k iy z
TINKY_WINKY	[TINKY_WINKY]	t ih ng k iy w ih ng k iy
TINY	[TINY]	t ay n iy
TIP	[TIP]	t ih p
TIPIDY	[TIPIDY]	t ih p ih dx iy
TIPPED	[TIPPED]	t ih p t
TIPS	[TIPS]	t ih p s
TIPTOE	[TIPTOE]	t ih p t ow
TIPTOES	[TIPTOES]	t ih p t ow z
TIRE	[TIRE]	t ay er
TIRED	[TIRED]	t ay er d
TIRES	[TIRES]	t ay er z
TIRING	[TIRING]	t ay r ix ng
TISSUE	[TISSUE]	t ih s y uw
TISSUES	[TISSUES]	t ih s y uw z
TITMOUSE	[TITMOUSE]	t ih t m aw s
TO	[TO]	t uw
TOAD	[TOAD]	t ow d
TOADS	[TOADS]	t ow d z
TOAST	[TOAST]	t ow s t
TOASTED	[TOASTED]	t ow s t ix d
TOASTER	[TOASTER]	t ow s t er
TOASTING	[TOASTING]	t ow s t ix ng
TOASTY	[TOASTY]	t ow s t iy
TOBY	[TOBY]	t ow b iy
TOCK	[TOCK]	t aa k
TODAY	[TODAY]	t ax d ey
TODAY'S	[TODAY'S]	t ax d ey z
TODDLE	[TODDLE]	t aa dx ax l
TODDLER	[TODDLER]	t aa d l er
TODDLERS	[TODDLERS]	t aa d l er z
TOE	[TOE]	t ow
TOENAIL	[TOENAIL]	t ow n ey l
TOENAILS	[TOENAILS]	t ow n ey l z
TOES	[TOES]	t ow z
TOFU	[TOFU]	t ow f uw
TOGETHER	[TOGETHER]	t ax g eh dh er
TOILET	[TOILET]	t oy l ax t
TOLD	[TOLD]	t ow l d
TOM	[TOM]	t aa m
TOM'S	[TOM'S]	t aa m z
TOMAGO	[TOMAGO]	t ow m ax g ow
TOMATO	[TOMATO]	t ax m ey t ow
TOMATOES	[TOMATOES]	t ax m ey dx ow z
TOMATOS	[TOMATOS]	t ax m ey t ow z
TOMATO_A	[TOMATO_A]	t ow m ay t ow
TOMATO_B	[TOMATO_B]	t ax m ay t ax
TOMCAT	[TOMCAT]	t aa m k ae t
TOMMY	[TOMMY]	t aa m iy
TOMORROW	[TOMORROW]	t ax m aa r ow
TOMORROW'S	[TOMORROW'S]	t ax m aa r ow z
TON	[TON]	t ah n
TONE	[TONE]	t ow n
TONGUE	[TONGUE]	t ah ng
TONGUES	[TONGUES]	t ah ng z
TONIGHT	[TONIGHT]	t ax n ay t
TONY	[TONY]	t ow n iy
TONY'S	[TONY'S]	t ow n iy z
TOO	[TOO]	t uw
TOOFIES	[TOOFIES]	t uw f iy z
TOOK	[TOOK]	t uh k
TOOL	[TOOL]	t uw l
TOOLBELT	[TOOLBELT]	t uw l b eh l t
TOOLBOX	[TOOLBOX]	t uw l b ao k s
TOOLS	[TOOLS]	t uw l z
TOOT	[TOOT]	t uw t
TOOTH	[TOOTH]	t uw th
TOOTHBRUSH	[TOOTHBRUSH]	t uw th b r ax sh
TOOTHBRUSHES	[TOOTHBRUSHES]	t uw th b r ah sh ix z
TOOTHED	[TOOTHED]	t uw th t
TOOTHPASTE	[TOOTHPASTE]	t uw th p ey s t
TOOTH_FAIRY'S	[TOOTH_FAIRY'S]	t uw th f ae r iy z
TOP	[TOP]	t aa p
TOPHAM	[TOPHAM]	t aa f ax m
TOPHAMHAT	[TOPHAMHAT]	t aa f ax m hh ae t
TOPPLED	[TOPPLED]	t aa p ax l d
TOPPUMHAT	[TOPPUMHAT]	t aa p ax m hh ae t
TOPS	[TOPS]	t aa p s
TORE	[TORE]	t ao r
TORMENT	[TORMENT]	t ao r m eh n t
TORN	[TORN]	t ao r n
TORTOISE	[TORTOISE]	t ao r dx ax s
TORTOISES	[TORTOISES]	t ao r dx ax s ax z
TORTURE	[TORTURE]	t ao r ch er
